customerID,tagID,userID,remoteIP,timestamp,userAgent
778,3,d758f5cc-9c81-4fed-a499-056c636e6e29,178.188.27.11,1691811823,Opera/9.80.(X11; Linux i686; ky-KG) Presto/2.9.162 Version/11.00
850,50,ff261a6d-ba88-49b0-924d-f1439533c2bc,4.144.203.72,1683849228,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1)
893,6,3b9c31a2-afe3-4b17-8fb1-48077ce2b0f4,108.193.189.3,1682822587,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/52.0.834.0 Safari/532.2"
514,9,1898c0ef-c15b-4269-bdea-cd1602239125,63.100.44.170,1687390588,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/21.0.833.0 Safari/534.1"
538,95,78208037-2efa-4671-b5b9-1d9c02bd36ad,4.92.141.229,1678359062,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1)
870,49,85c11759-eb00-4ba1-8538-614a6487ca9f,207.178.10.130,1700934074,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/48.0.868.0 Safari/531.0"
733,63,698d85a5-8fce-42a8-aaef-92a3565fadb5,140.154.174.171,1692698838,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.0)
145,74,58017942-f581-487b-b180-88e47f2896bb,203.158.93.99,1702051306,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ru-UA) AppleWebKit/534.38.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6534.38.1"
478,92,0f3d4910-6f97-49f2-aa35-4bda4577ba30,155.187.49.176,1692003879,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.1)
221,52,43042f4d-bbef-4f97-977b-2312a4dc3beb,17.36.75.62,1673899565,Opera/9.38.(X11; Linux x86_64; li-BE) Presto/2.9.179 Version/11.00
253,72,1f162737-701e-474e-8cea-b436cb876248,103.149.175.166,1697904807,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.0)
634,50,6933b409-7b02-47d1-a88f-24d173e7d595,115.92.70.18,1683358956,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:3.0; se-NO) AppleWebKit/535.48.1 (KHTML, like Gecko) Version/5.0 Safari/535.48.1"
